,date,home_team,home_score,away_score,away_team,neutral
352,2010-11-20,Flamengo,2,1,Guarani,False
353,2010-11-21,São Paulo,1,4,Fluminense,False
354,2010-11-21,Palmeiras,0,2,Atlético-MG,False
355,2010-11-21,Botafogo,1,2,Internacional,False
356,2010-11-21,Cruzeiro,3,1,Vasco da Gama,False
357,2010-11-21,Goiás,1,4,Santos,False
358,2010-11-21,Vitória,1,1,Corinthians,False
359,2010-11-21,Avaí,3,0,Atlético-GO,False
360,2010-11-28,Corinthians,2,0,Vasco da Gama,False
361,2010-11-28,Palmeiras,1,2,Fluminense,False
362,2010-11-28,Flamengo,1,2,Cruzeiro,False
363,2010-11-28,Botafogo,3,1,Prudente,False
364,2010-11-28,Guarani,0,3,Grêmio,False
365,2010-11-28,Atlético-MG,3,1,Goiás,False
366,2010-11-28,Internacional,1,1,Vitória,False
367,2010-11-28,Atlético-GO,1,1,São Paulo,False
368,2010-11-28,Ceará,1,1,Atlético-PR,False
369,2010-11-28,Avaí,3,2,Santos,False
370,2010-12-02,Prudente,0,3,Internacional,False
371,2010-12-05,São Paulo,4,0,Atlético-MG,False
372,2010-12-05,Santos,0,0,Flamengo,False
373,2010-12-05,Vasco da Gama,2,0,Ceará,False
374,2010-12-05,Fluminense,1,0,Guarani,False
375,2010-12-05,Cruzeiro,2,1,Palmeiras,False
376,2010-12-05,Grêmio,3,0,Botafogo,False
377,2010-12-05,Goiás,1,1,Corinthians,False
378,2010-12-05,Vitória,0,0,Atlético-GO,False
379,2010-12-05,Atlético-PR,1,0,Avaí,False
