,date,home_team,home_score,away_score,away_team,neutral,knockout,category
279,1996-11-30,Guarani,1,0,Goiás,False,False,quarter
280,1996-11-27,Grêmio,3,1,Palmeiras,False,False,quarter
281,1996-11-30,Palmeiras,1,0,Grêmio,False,False,quarter
282,1996-11-28,Atlético-MG,3,1,Atlético-PR,False,False,quarter
283,1996-11-30,Atlético-PR,1,0,Atlético-MG,False,False,quarter
284,1996-12-05,Portuguesa,1,0,Atlético-MG,False,False,semi
285,1996-12-08,Atlético-MG,2,2,Portuguesa,False,False,semi
286,1996-12-05,Goiás,1,3,Grêmio,False,False,semi
287,1996-12-08,Grêmio,2,2,Goiás,False,False,semi
288,1996-12-11,Portuguesa,2,0,Grêmio,False,False,final
289,1996-12-15,Grêmio,2,0,Portuguesa,False,False,final
